SKUID,ComponentID,QtyPerUnit
SKU100,COMP025,1
SKU100,COMP014,3
SKU100,COMP009,2
SKU100,COMP026,1
SKU100,COMP005,2
SKU100,COMP039,2
SKU101,COMP003,1
SKU101,COMP001,1
SKU101,COMP039,1
SKU101,COMP032,3
SKU101,COMP013,1
SKU102,COMP004,3
SKU102,COMP018,1
SKU102,COMP032,1
SKU102,COMP021,2
SKU103,COMP029,2
SKU103,COMP003,1
SKU103,COMP008,1
SKU103,COMP012,1
SKU103,COMP022,3
SKU103,COMP021,3
SKU104,COMP030,2
SKU104,COMP016,2
SKU104,COMP004,3
SKU104,COMP013,3
SKU104,COMP021,3
SKU105,COMP033,2
SKU105,COMP037,1
SKU105,COMP036,1
SKU105,COMP023,2
SKU105,COMP012,1
SKU105,COMP026,2
SKU106,COMP010,3
SKU106,COMP026,3
SKU106,COMP005,1
SKU106,COMP012,1
SKU107,COMP002,3
SKU107,COMP029,2
SKU107,COMP010,1
SKU107,COMP013,2
SKU107,COMP018,3
SKU107,COMP011,2
SKU108,COMP005,2
SKU108,COMP025,1
SKU108,COMP028,2
SKU108,COMP015,2
SKU108,COMP031,2
SKU109,COMP024,3
SKU109,COMP028,1
SKU109,COMP034,2
SKU109,COMP007,1
SKU109,COMP025,3
SKU110,COMP009,1
SKU110,COMP031,3
SKU110,COMP011,2
SKU110,COMP006,3
SKU110,COMP035,1
SKU110,COMP036,1
SKU111,COMP027,3
SKU111,COMP026,1
SKU111,COMP006,3
SKU111,COMP030,2
SKU112,COMP026,1
SKU112,COMP002,3
SKU112,COMP006,1
SKU112,COMP008,3
SKU113,COMP032,3
SKU113,COMP027,3
SKU113,COMP025,1
SKU113,COMP033,2
SKU114,COMP016,1
SKU114,COMP039,2
SKU114,COMP032,3
SKU114,COMP002,3
SKU114,COMP023,1
SKU114,COMP030,1
SKU115,COMP037,3
SKU115,COMP038,1
SKU115,COMP015,1
SKU115,COMP007,3
SKU115,COMP035,1
SKU116,COMP004,1
SKU116,COMP035,1
SKU116,COMP014,2
SKU116,COMP031,1
SKU116,COMP008,1
SKU117,COMP009,3
SKU117,COMP013,2
SKU117,COMP032,3
SKU117,COMP038,2
SKU117,COMP033,3
SKU118,COMP026,1
SKU118,COMP001,1
SKU118,COMP012,2
SKU118,COMP039,2
SKU119,COMP039,3
SKU119,COMP033,3
SKU119,COMP023,3
SKU119,COMP035,3
SKU120,COMP023,3
SKU120,COMP011,1
SKU120,COMP029,2
SKU120,COMP032,1
SKU120,COMP014,1
SKU120,COMP027,1
SKU121,COMP032,2
SKU121,COMP012,2
SKU121,COMP018,3
SKU121,COMP014,1
SKU122,COMP038,3
SKU122,COMP015,1
SKU122,COMP027,2
SKU122,COMP021,3
SKU123,COMP017,3
SKU123,COMP036,2
SKU123,COMP015,2
SKU123,COMP038,3
SKU123,COMP031,3
SKU123,COMP002,3
SKU124,COMP011,3
SKU124,COMP032,1
SKU124,COMP009,3
SKU124,COMP024,2
SKU124,COMP021,2
SKU125,COMP022,2
SKU125,COMP007,3
SKU125,COMP002,1
SKU125,COMP014,1
SKU125,COMP020,3
SKU126,COMP016,3
SKU126,COMP003,1
SKU126,COMP014,1
SKU126,COMP023,3
SKU126,COMP008,1
SKU127,COMP005,2
SKU127,COMP025,3
SKU127,COMP037,1
SKU127,COMP009,1
SKU128,COMP035,3
SKU128,COMP013,2
SKU128,COMP019,3
SKU128,COMP038,2
SKU129,COMP011,1
SKU129,COMP025,2
SKU129,COMP001,2
SKU129,COMP029,1
SKU129,COMP016,1
SKU129,COMP003,1
