Date,SKUID,ForecastQty,ActualQty
2025-01-01,SKU100,239,218
2025-01-01,SKU101,344,365
2025-01-01,SKU102,499,473
2025-01-01,SKU103,101,96
2025-01-01,SKU104,106,113
2025-01-01,SKU105,430,447
2025-01-01,SKU106,303,282
2025-01-01,SKU107,145,153
2025-01-01,SKU108,369,367
2025-01-01,SKU109,322,299
2025-01-01,SKU110,211,192
2025-01-01,SKU111,304,332
2025-01-01,SKU112,126,136
2025-01-01,SKU113,421,428
2025-01-01,SKU114,280,275
2025-01-01,SKU115,227,208
2025-01-01,SKU116,414,449
2025-01-01,SKU117,227,216
2025-01-01,SKU118,226,230
2025-01-01,SKU119,482,449
2025-01-01,SKU120,439,470
2025-01-01,SKU121,383,400
2025-01-01,SKU122,367,391
2025-01-01,SKU123,163,162
2025-01-01,SKU124,81,80
2025-01-01,SKU125,148,137
2025-01-01,SKU126,103,109
2025-01-01,SKU127,110,120
2025-01-01,SKU128,125,115
2025-01-01,SKU129,133,144
2025-01-02,SKU100,194,206
2025-01-02,SKU101,385,381
2025-01-02,SKU102,75,83
2025-01-02,SKU103,179,197
2025-01-02,SKU104,227,249
2025-01-02,SKU105,420,422
2025-01-02,SKU106,489,450
2025-01-02,SKU107,305,322
2025-01-02,SKU108,270,288
2025-01-02,SKU109,291,300
2025-01-02,SKU110,412,453
2025-01-02,SKU111,118,130
2025-01-02,SKU112,524,489
2025-01-02,SKU113,178,177
2025-01-02,SKU114,165,173
2025-01-02,SKU115,116,118
2025-01-02,SKU116,108,105
2025-01-02,SKU117,95,87
2025-01-02,SKU118,287,288
2025-01-02,SKU119,307,285
2025-01-02,SKU120,88,81
2025-01-02,SKU121,508,481
2025-01-02,SKU122,475,436
2025-01-02,SKU123,445,447
2025-01-02,SKU124,208,191
2025-01-02,SKU125,325,357
2025-01-02,SKU126,106,105
2025-01-02,SKU127,326,351
2025-01-02,SKU128,159,175
2025-01-02,SKU129,196,200
2025-01-03,SKU100,302,314
2025-01-03,SKU101,321,314
2025-01-03,SKU102,117,117
2025-01-03,SKU103,159,147
2025-01-03,SKU104,199,205
2025-01-03,SKU105,372,358
2025-01-03,SKU106,416,414
2025-01-03,SKU107,348,363
2025-01-03,SKU108,141,148
2025-01-03,SKU109,337,363
2025-01-03,SKU110,195,187
2025-01-03,SKU111,432,404
2025-01-03,SKU112,224,208
2025-01-03,SKU113,397,404
2025-01-03,SKU114,78,81
2025-01-03,SKU115,199,214
2025-01-03,SKU116,434,441
2025-01-03,SKU117,128,118
2025-01-03,SKU118,157,156
2025-01-03,SKU119,336,362
2025-01-03,SKU120,230,237
2025-01-03,SKU121,247,263
2025-01-03,SKU122,128,132
2025-01-03,SKU123,315,288
2025-01-03,SKU124,215,201
2025-01-03,SKU125,263,291
2025-01-03,SKU126,264,250
2025-01-03,SKU127,452,422
2025-01-03,SKU128,170,161
2025-01-03,SKU129,106,99
2025-01-04,SKU100,266,259
2025-01-04,SKU101,342,354
2025-01-04,SKU102,199,213
2025-01-04,SKU103,137,135
2025-01-04,SKU104,464,482
2025-01-04,SKU105,135,139
2025-01-04,SKU106,190,210
2025-01-04,SKU107,375,346
2025-01-04,SKU108,487,448
2025-01-04,SKU109,175,180
2025-01-04,SKU110,455,420
2025-01-04,SKU111,448,419
2025-01-04,SKU112,233,233
2025-01-04,SKU113,242,247
2025-01-04,SKU114,136,145
2025-01-04,SKU115,283,274
2025-01-04,SKU116,356,371
2025-01-04,SKU117,76,80
2025-01-04,SKU118,489,482
2025-01-04,SKU119,314,318
2025-01-04,SKU120,339,341
2025-01-04,SKU121,382,417
2025-01-04,SKU122,413,404
2025-01-04,SKU123,439,464
2025-01-04,SKU124,462,492
2025-01-04,SKU125,224,205
2025-01-04,SKU126,432,473
2025-01-04,SKU127,408,402
2025-01-04,SKU128,275,276
2025-01-04,SKU129,430,415
2025-01-05,SKU100,502,466
2025-01-05,SKU101,483,448
2025-01-05,SKU102,356,360
2025-01-05,SKU103,319,323
2025-01-05,SKU104,387,406
2025-01-05,SKU105,379,400
2025-01-05,SKU106,425,445
2025-01-05,SKU107,262,243
2025-01-05,SKU108,148,157
2025-01-05,SKU109,415,441
2025-01-05,SKU110,251,249
2025-01-05,SKU111,197,185
2025-01-05,SKU112,481,474
2025-01-05,SKU113,478,471
