Date,WarehouseID,SKUID,OnHand,Outbound
2025-01-01,WH001,SKU100,509,15.6
2025-01-02,WH001,SKU100,494,14.8
2025-01-03,WH001,SKU100,471,22.5
2025-01-04,WH001,SKU100,453,18.6
2025-01-05,WH001,SKU100,419,33.4
2025-01-06,WH001,SKU100,408,11.8
2025-01-07,WH001,SKU100,375,32.8
2025-01-08,WH001,SKU100,347,27.9
2025-01-09,WH001,SKU100,340,7.3
2025-01-10,WH001,SKU100,309,30.6
2025-01-11,WH001,SKU100,301,8.2
2025-01-12,WH001,SKU100,287,13.9
2025-01-13,WH001,SKU100,262,25.0
2025-01-14,WH001,SKU100,226,35.6
2025-01-15,WH001,SKU100,200,25.8
2025-01-16,WH001,SKU100,189,11.8
2025-01-17,WH001,SKU100,167,21.6
2025-01-18,WH001,SKU100,133,33.8
2025-01-19,WH001,SKU100,102,31.6
2025-01-20,WH001,SKU100,89,12.5
2025-01-21,WH001,SKU100,233,5.8
2025-01-22,WH001,SKU100,202,31.3
2025-01-23,WH001,SKU100,182,19.6
2025-01-24,WH001,SKU100,170,11.9
2025-01-25,WH001,SKU100,159,11.3
2025-01-26,WH001,SKU100,123,35.6
2025-01-27,WH001,SKU100,110,13.7
2025-01-28,WH001,SKU100,234,23.9
2025-01-29,WH001,SKU100,220,13.9
2025-01-30,WH001,SKU100,196,24.5
2025-01-31,WH001,SKU100,169,26.5
2025-02-01,WH001,SKU100,158,11.6
2025-02-02,WH001,SKU100,152,6.2
2025-02-03,WH001,SKU100,136,15.6
2025-02-04,WH001,SKU100,268,10.8
2025-02-05,WH001,SKU100,243,24.9
2025-02-06,WH001,SKU100,231,11.8
2025-02-07,WH001,SKU100,215,16.7
2025-02-08,WH001,SKU100,202,12.5
2025-02-09,WH001,SKU100,173,29.0
2025-02-10,WH001,SKU100,149,24.1
2025-02-11,WH001,SKU100,268,28.6
2025-02-12,WH001,SKU100,245,23.0
2025-02-13,WH001,SKU100,229,15.4
2025-02-14,WH001,SKU100,199,30.4
2025-02-15,WH001,SKU100,173,25.8
2025-02-16,WH001,SKU100,158,14.8
2025-02-17,WH001,SKU100,134,24.7
2025-02-18,WH001,SKU100,211,31.3
2025-02-19,WH001,SKU100,194,17.3
2025-02-20,WH001,SKU100,178,15.6
2025-02-21,WH001,SKU100,172,6.2
2025-02-22,WH001,SKU100,155,17.0
2025-02-23,WH001,SKU100,121,34.1
2025-02-24,WH001,SKU100,101,20.6
2025-02-25,WH001,SKU100,225,22.8
2025-02-26,WH001,SKU100,197,28.1
2025-02-27,WH001,SKU100,177,20.5
2025-02-28,WH001,SKU100,151,26.0
2025-03-01,WH001,SKU100,128,22.5
2025-03-02,WH001,SKU100,104,24.2
2025-03-03,WH001,SKU100,81,23.1
2025-03-04,WH001,SKU100,219,27.7
2025-03-05,WH001,SKU100,196,22.9
2025-03-06,WH001,SKU100,172,23.5
2025-03-07,WH001,SKU100,145,27.3
