MO,Date,FactoryID,SKUID,Qty
MO000SKU100,2025-01-01,FAC006,SKU100,242
MO000SKU101,2025-01-01,FAC003,SKU101,398
MO000SKU102,2025-01-01,FAC002,SKU102,505
MO000SKU103,2025-01-01,FAC004,SKU103,93
MO000SKU104,2025-01-01,FAC005,SKU104,149
MO000SKU105,2025-01-01,FAC006,SKU105,458
MO000SKU106,2025-01-01,FAC006,SKU106,291
MO000SKU107,2025-01-01,FAC002,SKU107,180
MO000SKU108,2025-01-01,FAC006,SKU108,384
MO000SKU109,2025-01-01,FAC004,SKU109,302
MO000SKU110,2025-01-01,FAC002,SKU110,204
MO000SKU111,2025-01-01,FAC001,SKU111,367
MO000SKU112,2025-01-01,FAC002,SKU112,166
MO000SKU113,2025-01-01,FAC001,SKU113,432
MO000SKU114,2025-01-01,FAC004,SKU114,288
MO000SKU115,2025-01-01,FAC001,SKU115,231
MO000SKU116,2025-01-01,FAC005,SKU116,477
MO000SKU117,2025-01-01,FAC003,SKU117,203
MO000SKU118,2025-01-01,FAC004,SKU118,210
MO000SKU119,2025-01-01,FAC003,SKU119,461
MO000SKU120,2025-01-01,FAC001,SKU120,505
MO000SKU121,2025-01-01,FAC006,SKU121,412
MO000SKU122,2025-01-01,FAC003,SKU122,419
MO000SKU123,2025-01-01,FAC005,SKU123,200
MO000SKU124,2025-01-01,FAC004,SKU124,61
MO000SKU125,2025-01-01,FAC003,SKU125,132
MO000SKU126,2025-01-01,FAC005,SKU126,149
MO000SKU127,2025-01-01,FAC004,SKU127,152
MO000SKU128,2025-01-01,FAC005,SKU128,144
MO000SKU129,2025-01-01,FAC004,SKU129,184
MO001SKU100,2025-01-02,FAC003,SKU100,187
MO001SKU101,2025-01-02,FAC005,SKU101,375
MO001SKU102,2025-01-02,FAC006,SKU102,66
MO001SKU103,2025-01-02,FAC001,SKU103,232
MO001SKU104,2025-01-02,FAC002,SKU104,246
MO001SKU105,2025-01-02,FAC005,SKU105,410
MO001SKU106,2025-01-02,FAC005,SKU106,466
MO001SKU107,2025-01-02,FAC004,SKU107,353
MO001SKU108,2025-01-02,FAC001,SKU108,310
MO001SKU109,2025-01-02,FAC004,SKU109,309
MO001SKU110,2025-01-02,FAC006,SKU110,474
MO001SKU111,2025-01-02,FAC006,SKU111,131
MO001SKU112,2025-01-02,FAC002,SKU112,481
MO001SKU113,2025-01-02,FAC002,SKU113,184
MO001SKU114,2025-01-02,FAC002,SKU114,208
MO001SKU115,2025-01-02,FAC005,SKU115,104
MO001SKU116,2025-01-02,FAC005,SKU116,138
MO001SKU117,2025-01-02,FAC002,SKU117,77
MO001SKU118,2025-01-02,FAC002,SKU118,323
MO001SKU119,2025-01-02,FAC002,SKU119,289
MO001SKU120,2025-01-02,FAC003,SKU120,120
MO001SKU121,2025-01-02,FAC003,SKU121,488
MO001SKU122,2025-01-02,FAC005,SKU122,458
MO001SKU123,2025-01-02,FAC002,SKU123,445
MO001SKU124,2025-01-02,FAC005,SKU124,218
MO001SKU125,2025-01-02,FAC003,SKU125,340
MO001SKU126,2025-01-02,FAC005,SKU126,143
MO001SKU127,2025-01-02,FAC005,SKU127,336
MO001SKU128,2025-01-02,FAC001,SKU128,198
MO001SKU129,2025-01-02,FAC005,SKU129,195
MO002SKU100,2025-01-03,FAC001,SKU100,294
MO002SKU101,2025-01-03,FAC005,SKU101,300
MO002SKU102,2025-01-03,FAC005,SKU102,113
MO002SKU103,2025-01-03,FAC001,SKU103,183
MO002SKU104,2025-01-03,FAC002,SKU104,213
MO002SKU105,2025-01-03,FAC005,SKU105,389
MO002SKU106,2025-01-03,FAC006,SKU106,446
MO002SKU107,2025-01-03,FAC006,SKU107,349
MO002SKU108,2025-01-03,FAC001,SKU108,175
MO002SKU109,2025-01-03,FAC003,SKU109,381
MO002SKU110,2025-01-03,FAC002,SKU110,210
MO002SKU111,2025-01-03,FAC005,SKU111,415
MO002SKU112,2025-01-03,FAC001,SKU112,193
MO002SKU113,2025-01-03,FAC003,SKU113,386
MO002SKU114,2025-01-03,FAC002,SKU114,101
MO002SKU115,2025-01-03,FAC004,SKU115,229
MO002SKU116,2025-01-03,FAC001,SKU116,428
MO002SKU117,2025-01-03,FAC006,SKU117,155
MO002SKU118,2025-01-03,FAC003,SKU118,173
MO002SKU119,2025-01-03,FAC002,SKU119,344
MO002SKU120,2025-01-03,FAC001,SKU120,274
MO002SKU121,2025-01-03,FAC002,SKU121,285
