SKUID,Product,Category,StdCost
SKU100,PX-100,Laptop,1729
SKU101,PX-101,Watch,996
SKU102,PX-102,Tablet,618
SKU103,PX-103,Laptop,1863
SKU104,PX-104,Tablet,509
SKU105,PX-105,Phone,1078
SKU106,PX-106,Phone,1035
SKU107,PX-107,Tablet,1536
SKU108,PX-108,Tablet,1952
SKU109,PX-109,Phone,1794
SKU110,PX-110,Watch,1398
SKU111,PX-111,Phone,1075
SKU112,PX-112,Phone,1430
SKU113,PX-113,Tablet,1998
SKU114,PX-114,Audio,1040
SKU115,PX-115,Audio,693
SKU116,PX-116,Phone,393
SKU117,PX-117,Laptop,1883
SKU118,PX-118,Tablet,463
SKU119,PX-119,Laptop,506
SKU120,PX-120,Watch,869
SKU121,PX-121,Watch,1601
SKU122,PX-122,Tablet,633
SKU123,PX-123,Tablet,1027
SKU124,PX-124,Laptop,1672
SKU125,PX-125,Tablet,1737
SKU126,PX-126,Phone,1547
SKU127,PX-127,Laptop,1393
SKU128,PX-128,Laptop,634
SKU129,PX-129,Watch,1077
