PO,SupplierID,ComponentID,Qty,OrderDate,LeadTimeDays
PO000000,SUP010,COMP040,12596,2025-10-29,4
PO000001,SUP004,COMP009,4545,2025-10-13,20
PO000002,SUP008,COMP027,8171,2025-07-19,16
PO000003,SUP001,COMP025,14121,2025-03-26,19
PO000004,SUP010,COMP021,14222,2025-02-06,9
PO000005,SUP005,COMP002,11111,2025-04-19,21
PO000006,SUP010,COMP031,9513,2025-04-22,20
PO000007,SUP008,COMP019,5254,2025-12-09,25
PO000008,SUP004,COMP002,9151,2025-02-21,19
PO000009,SUP004,COMP027,4412,2025-03-24,25
PO000010,SUP010,COMP014,10881,2025-11-16,24
PO000011,SUP008,COMP001,3455,2025-07-17,15
PO000012,SUP004,COMP033,3233,2025-01-03,18
PO000013,SUP002,COMP023,5561,2025-10-14,5
PO000014,SUP009,COMP021,2420,2025-04-24,10
PO000015,SUP002,COMP005,13815,2025-08-29,19
PO000016,SUP007,COMP004,6088,2025-08-13,17
PO000017,SUP007,COMP029,8582,2025-02-06,21
PO000018,SUP003,COMP036,9554,2025-11-07,7
PO000019,SUP001,COMP015,1467,2025-03-21,19
PO000020,SUP008,COMP021,13669,2025-08-13,11
PO000021,SUP001,COMP023,8749,2025-11-16,8
PO000022,SUP004,COMP001,3927,2025-08-02,3
PO000023,SUP007,COMP029,8508,2025-09-29,18
PO000024,SUP002,COMP039,14785,2025-11-26,8
PO000025,SUP005,COMP039,8235,2025-12-06,8
PO000026,SUP007,COMP021,6096,2025-08-27,5
PO000027,SUP004,COMP026,5117,2025-10-23,16
PO000028,SUP008,COMP017,11936,2025-07-06,6
PO000029,SUP005,COMP021,4249,2025-08-20,14
PO000030,SUP003,COMP023,7764,2025-06-03,12
PO000031,SUP009,COMP035,2895,2025-06-15,7
PO000032,SUP007,COMP039,9895,2025-01-25,25
PO000033,SUP002,COMP034,6485,2025-02-23,6
PO000034,SUP002,COMP021,12555,2025-08-10,18
PO000035,SUP004,COMP015,9403,2025-06-26,5
PO000036,SUP006,COMP030,7509,2025-05-27,16
PO000037,SUP008,COMP003,11133,2025-07-08,4
PO000038,SUP007,COMP035,651,2025-11-08,20
PO000039,SUP004,COMP033,12546,2025-04-18,5
PO000040,SUP010,COMP015,4746,2025-08-11,13
PO000041,SUP001,COMP012,12942,2025-09-06,13
PO000042,SUP009,COMP028,1345,2025-05-08,23
PO000043,SUP005,COMP023,6673,2025-04-14,25
PO000044,SUP004,COMP014,13237,2025-10-04,21
PO000045,SUP003,COMP016,5425,2025-11-16,14
PO000046,SUP003,COMP018,13104,2025-06-14,17
PO000047,SUP001,COMP022,1763,2025-06-12,13
PO000048,SUP008,COMP034,10952,2025-03-10,15
PO000049,SUP004,COMP035,9411,2025-01-04,23
PO000050,SUP004,COMP011,4912,2025-12-13,7
PO000051,SUP008,COMP006,6685,2025-02-26,24
PO000052,SUP009,COMP025,13163,2025-03-24,25
PO000053,SUP009,COMP025,10002,2025-08-25,11
PO000054,SUP008,COMP027,12351,2025-04-03,9
PO000055,SUP008,COMP002,3926,2025-12-17,20
PO000056,SUP006,COMP018,8193,2025-10-14,17
PO000057,SUP003,COMP027,9127,2025-02-19,21
PO000058,SUP004,COMP008,13550,2025-11-09,7
PO000059,SUP003,COMP037,5096,2025-02-16,25
PO000060,SUP003,COMP015,2785,2025-09-19,25
PO000061,SUP001,COMP026,3538,2025-06-28,10
PO000062,SUP010,COMP017,14713,2025-02-18,19
PO000063,SUP006,COMP018,6098,2025-07-08,11
PO000064,SUP002,COMP035,10542,2025-03-26,13
PO000065,SUP009,COMP034,4416,2025-02-13,11
PO000066,SUP001,COMP004,4305,2025-06-27,15
PO000067,SUP004,COMP002,3826,2025-03-23,19
PO000068,SUP003,COMP028,8279,2025-04-08,13
PO000069,SUP005,COMP040,648,2025-06-07,17
PO000070,SUP010,COMP035,6730,2025-07-04,17
PO000071,SUP002,COMP028,14071,2025-09-15,21
PO000072,SUP007,COMP009,2013,2025-04-10,7
PO000073,SUP006,COMP004,9093,2025-08-02,8
PO000074,SUP009,COMP027,9285,2025-06-10,15
PO000075,SUP005,COMP014,5383,2025-08-13,15
PO000076,SUP001,COMP034,14000,2025-10-03,8
PO000077,SUP004,COMP002,9947,2025-03-29,14
PO000078,SUP009,COMP029,3401,2025-09-24,22
PO000079,SUP005,COMP026,8148,2025-12-07,9
PO000080,SUP007,COMP014,1778,2025-07-23,9
PO000081,SUP004,COMP002,14458,2025-10-11,12
PO000082,SUP007,COMP003,2189,2025-08-29,8
PO000083,SUP007,COMP010,8923,2025-01-08,10
PO000084,SUP004,COMP026,5605,2025-11-08,4
PO000085,SUP009,COMP019,13326,2025-12-08,18
PO000086,SUP005,COMP037,1822,2025-11-20,5
PO000087,SUP007,COMP016,4663,2025-11-30,25
PO000088,SUP004,COMP003,4247,2025-02-18,4
PO000089,SUP002,COMP025,7251,2025-05-01,15
PO000090,SUP007,COMP012,12816,2025-03-15,19
PO000091,SUP005,COMP024,14214,2025-06-12,12
PO000092,SUP002,COMP019,12790,2025-01-02,20
PO000093,SUP006,COMP030,10581,2025-07-13,7
PO000094,SUP003,COMP037,6267,2025-02-08,6
PO000095,SUP001,COMP033,5615,2025-09-27,16
PO000096,SUP002,COMP003,6769,2025-08-01,4
PO000097,SUP001,COMP012,14693,2025-07-19,3
PO000098,SUP005,COMP027,10185,2025-01-10,23
PO000099,SUP002,COMP029,4790,2025-11-10,24
PO000100,SUP006,COMP013,8874,2025-11-21,22
PO000101,SUP002,COMP025,13945,2025-03-10,12
PO000102,SUP005,COMP005,891,2025-08-02,15
PO000103,SUP008,COMP035,9418,2025-05-28,13
PO000104,SUP008,COMP015,14399,2025-03-17,5
PO000105,SUP007,COMP023,1417,2025-04-01,24
PO000106,SUP005,COMP010,3964,2025-09-26,21
PO000107,SUP004,COMP023,4859,2025-05-11,3
PO000108,SUP008,COMP005,13611,2025-02-04,23
PO000109,SUP001,COMP030,12885,2025-03-29,22
PO000110,SUP009,COMP024,892,2025-03-28,10
PO000111,SUP001,COMP023,10964,2025-01-16,16
PO000112,SUP007,COMP029,2044,2025-05-10,20
PO000113,SUP006,COMP015,4143,2025-12-03,9
PO000114,SUP002,COMP032,13016,2025-02-11,11
PO000115,SUP008,COMP037,12957,2025-06-12,14
PO000116,SUP005,COMP005,3296,2025-10-16,20
PO000117,SUP003,COMP019,12849,2025-10-24,8
PO000118,SUP003,COMP001,13946,2025-04-03,19
PO000119,SUP009,COMP005,6341,2025-12-01,8
PO000120,SUP001,COMP033,10109,2025-12-15,14
PO000121,SUP003,COMP008,14340,2025-08-14,15
PO000122,SUP009,COMP001,2469,2025-03-22,16
PO000123,SUP010,COMP028,3223,2025-06-21,4
PO000124,SUP006,COMP004,8318,2025-04-27,25
PO000125,SUP003,COMP018,12785,2025-11-04,5
PO000126,SUP004,COMP039,5338,2025-05-03,4
PO000127,SUP004,COMP011,6486,2025-01-24,8
PO000128,SUP008,COMP017,10336,2025-07-23,7
PO000129,SUP004,COMP036,4274,2025-09-16,12
PO000130,SUP005,COMP004,12930,2025-12-14,10
PO000131,SUP008,COMP026,6312,2025-05-12,9
PO000132,SUP010,COMP038,10197,2025-05-17,7
PO000133,SUP009,COMP023,12581,2025-09-26,3
PO000134,SUP004,COMP015,930,2025-09-25,16
PO000135,SUP005,COMP007,5210,2025-10-12,16
PO000136,SUP004,COMP009,10179,2025-11-29,4
PO000137,SUP009,COMP021,13806,2025-01-11,13
PO000138,SUP001,COMP018,11494,2025-09-19,18
PO000139,SUP002,COMP022,10077,2025-01-15,13
PO000140,SUP002,COMP036,2552,2025-04-19,17
PO000141,SUP008,COMP011,2216,2025-01-31,22
PO000142,SUP001,COMP031,4647,2025-05-28,11
PO000143,SUP008,COMP037,11819,2025-04-29,21
PO000144,SUP002,COMP005,8227,2025-03-05,18
PO000145,SUP005,COMP001,984,2025-04-13,25
PO000146,SUP005,COMP023,6963,2025-09-28,24
PO000147,SUP009,COMP018,9182,2025-07-22,13
PO000148,SUP008,COMP014,8345,2025-05-31,11
PO000149,SUP010,COMP025,7133,2025-07-13,3
PO000150,SUP008,COMP009,4090,2025-07-21,15
PO000151,SUP001,COMP019,14446,2025-08-29,11
PO000152,SUP002,COMP010,609,2025-10-13,6
PO000153,SUP009,COMP001,3661,2025-08-12,19
PO000154,SUP010,COMP014,8709,2025-11-24,7
PO000155,SUP006,COMP009,13451,2025-10-01,24
PO000156,SUP010,COMP019,577,2025-06-06,9
PO000157,SUP010,COMP016,13176,2025-07-06,6
PO000158,SUP007,COMP002,2740,2025-07-22,22
PO000159,SUP006,COMP031,7727,2025-07-11,7
PO000160,SUP007,COMP027,9685,2025-05-29,20
PO000161,SUP001,COMP014,11418,2025-02-20,16
PO000162,SUP004,COMP026,8198,2025-09-25,5
PO000163,SUP008,COMP021,2948,2025-05-14,23
PO000164,SUP009,COMP005,4571,2025-06-23,10
PO000165,SUP008,COMP025,4884,2025-03-22,22
PO000166,SUP009,COMP015,12884,2025-11-10,10
PO000167,SUP001,COMP014,10725,2025-07-03,10
PO000168,SUP010,COMP024,2722,2025-12-24,15
PO000169,SUP001,COMP034,11206,2025-10-03,14
PO000170,SUP004,COMP012,10331,2025-10-14,17
PO000171,SUP004,COMP019,12047,2025-01-16,5
PO000172,SUP002,COMP017,10648,2025-11-05,18
PO000173,SUP005,COMP030,5891,2025-05-20,18
PO000174,SUP004,COMP029,14528,2025-08-26,4
PO000175,SUP005,COMP038,10591,2025-01-21,21
PO000176,SUP007,COMP030,9249,2025-02-04,22
PO000177,SUP005,COMP024,13982,2025-07-19,13
PO000178,SUP010,COMP031,7884,2025-04-30,22
PO000179,SUP007,COMP007,13276,2025-01-17,24
PO000180,SUP004,COMP017,847,2025-06-25,18
PO000181,SUP004,COMP026,9370,2025-10-25,6
PO000182,SUP001,COMP034,14676,2025-01-11,12
PO000183,SUP002,COMP032,14977,2025-06-10,16
PO000184,SUP010,COMP018,4015,2025-01-17,18
PO000185,SUP003,COMP007,11718,2025-09-15,24
PO000186,SUP009,COMP030,11342,2025-08-21,5
PO000187,SUP007,COMP037,10136,2025-02-21,15
PO000188,SUP006,COMP033,8079,2025-04-03,10
PO000189,SUP007,COMP016,5549,2025-02-05,6
PO000190,SUP001,COMP017,9315,2025-06-19,17
PO000191,SUP009,COMP027,7860,2025-02-26,7
PO000192,SUP007,COMP021,13758,2025-09-02,25
PO000193,SUP003,COMP036,14130,2025-02-04,20
PO000194,SUP003,COMP038,14263,2025-03-02,8
PO000195,SUP008,COMP036,10720,2025-11-25,20
PO000196,SUP009,COMP024,11125,2025-03-26,11
PO000197,SUP010,COMP038,1548,2025-11-16,15
PO000198,SUP001,COMP034,5287,2025-02-21,25
PO000199,SUP006,COMP036,13253,2025-06-21,14
PO000200,SUP004,COMP030,12186,2025-04-27,4
PO000201,SUP005,COMP014,7966,2025-08-02,9
PO000202,SUP002,COMP034,5757,2025-07-08,21
PO000203,SUP007,COMP032,857,2025-09-10,6
PO000204,SUP007,COMP040,14174,2025-05-11,11
PO000205,SUP009,COMP007,4939,2025-06-06,3
PO000206,SUP001,COMP004,12728,2025-05-20,4
PO000207,SUP008,COMP024,7222,2025-01-24,7
PO000208,SUP004,COMP008,1334,2025-08-05,12
PO000209,SUP001,COMP029,13094,2025-11-07,18
PO000210,SUP003,COMP038,7235,2025-09-26,8
PO000211,SUP003,COMP036,8746,2025-12-05,13
PO000212,SUP005,COMP010,7929,2025-04-16,11
PO000213,SUP005,COMP038,12152,2025-09-06,21
PO000214,SUP010,COMP010,14652,2025-07-11,6
PO000215,SUP010,COMP031,11799,2025-04-10,16
