ReportID,FactoryID,SKUID,YieldPct,DefectPct
QR000000,FAC006,SKU118,99.66,2.88
QR000001,FAC002,SKU113,99.33,1.43
QR000002,FAC002,SKU109,99.16,1.29
QR000003,FAC001,SKU108,98.35,2.89
QR000004,FAC003,SKU119,96.19,0.18
QR000005,FAC002,SKU105,98.0,1.62
QR000006,FAC006,SKU129,97.89,0.12
QR000007,FAC003,SKU127,98.66,0.41
QR000008,FAC001,SKU107,96.09,0.58
QR000009,FAC006,SKU123,95.91,0.86
QR000010,FAC005,SKU125,95.62,2.86
QR000011,FAC003,SKU123,99.63,0.9
QR000012,FAC005,SKU102,97.77,0.82
QR000013,FAC004,SKU129,96.07,2.55
QR000014,FAC002,SKU115,98.12,1.26
QR000015,FAC004,SKU120,95.38,0.38
QR000016,FAC002,SKU113,99.9,1.9
QR000017,FAC001,SKU128,97.41,2.83
QR000018,FAC004,SKU109,99.17,0.69
QR000019,FAC003,SKU115,98.62,0.5
QR000020,FAC005,SKU120,97.29,2.05
QR000021,FAC005,SKU128,98.4,1.02
QR000022,FAC002,SKU122,95.69,1.43
QR000023,FAC004,SKU106,99.65,2.52
QR000024,FAC005,SKU104,98.89,2.83
QR000025,FAC002,SKU129,95.06,0.42
QR000026,FAC004,SKU113,97.67,1.13
QR000027,FAC002,SKU104,99.13,2.65
QR000028,FAC003,SKU107,96.39,0.64
QR000029,FAC003,SKU126,96.45,2.97
QR000030,FAC001,SKU120,98.33,2.0
QR000031,FAC001,SKU107,98.07,2.87
QR000032,FAC003,SKU126,99.08,2.95
QR000033,FAC001,SKU106,96.7,0.45
QR000034,FAC005,SKU121,99.84,2.96
QR000035,FAC005,SKU124,97.98,0.2
QR000036,FAC004,SKU125,98.07,2.0
QR000037,FAC004,SKU113,99.63,2.42
QR000038,FAC005,SKU120,97.01,1.73
QR000039,FAC006,SKU109,95.87,1.19
QR000040,FAC006,SKU101,95.68,1.56
QR000041,FAC005,SKU115,95.45,1.02
QR000042,FAC001,SKU106,99.69,0.32
QR000043,FAC003,SKU127,96.22,0.62
QR000044,FAC002,SKU124,95.39,2.99
QR000045,FAC002,SKU102,97.03,1.79
QR000046,FAC002,SKU120,97.51,1.61
QR000047,FAC006,SKU111,95.96,2.29
QR000048,FAC005,SKU116,97.56,2.99
QR000049,FAC004,SKU119,99.22,1.51
QR000050,FAC004,SKU114,95.02,1.07
QR000051,FAC001,SKU112,97.7,1.22
QR000052,FAC002,SKU114,96.08,1.02
QR000053,FAC006,SKU104,95.0,2.22
QR000054,FAC005,SKU101,97.04,0.81
QR000055,FAC002,SKU120,99.86,1.49
QR000056,FAC006,SKU118,98.12,2.68
QR000057,FAC004,SKU110,98.93,0.95
QR000058,FAC003,SKU106,95.4,0.84
QR000059,FAC005,SKU112,97.26,2.69
QR000060,FAC005,SKU125,98.22,1.13
QR000061,FAC002,SKU112,97.49,0.47
QR000062,FAC006,SKU107,96.41,2.82
QR000063,FAC002,SKU103,97.6,0.58
QR000064,FAC006,SKU124,98.96,2.5
QR000065,FAC002,SKU100,99.44,1.77
QR000066,FAC003,SKU113,97.14,2.67
QR000067,FAC006,SKU112,98.46,0.33
QR000068,FAC006,SKU125,96.37,0.76
QR000069,FAC006,SKU113,95.22,2.63
QR000070,FAC001,SKU106,95.56,2.54
QR000071,FAC002,SKU128,97.77,1.12
QR000072,FAC001,SKU103,99.38,1.89
QR000073,FAC004,SKU102,97.59,1.65
QR000074,FAC002,SKU105,97.44,0.65
QR000075,FAC001,SKU115,97.66,0.18
QR000076,FAC004,SKU112,96.74,2.45
QR000077,FAC002,SKU107,96.8,2.0
QR000078,FAC002,SKU105,96.43,3.0
QR000079,FAC002,SKU119,97.5,1.69
QR000080,FAC002,SKU108,95.27,1.73
QR000081,FAC001,SKU103,98.65,1.24
QR000082,FAC005,SKU103,99.33,1.07
QR000083,FAC002,SKU100,99.45,1.76
QR000084,FAC003,SKU108,95.94,2.18
QR000085,FAC003,SKU107,98.44,0.17
QR000086,FAC006,SKU115,97.42,1.82
QR000087,FAC003,SKU129,99.65,2.56
QR000088,FAC006,SKU101,98.37,0.14
QR000089,FAC002,SKU111,98.66,2.35
QR000090,FAC001,SKU100,97.31,0.21
QR000091,FAC001,SKU120,95.77,1.3
QR000092,FAC004,SKU127,96.47,2.28
QR000093,FAC005,SKU104,97.23,2.48
QR000094,FAC005,SKU105,95.23,2.28
QR000095,FAC002,SKU112,97.05,2.9
QR000096,FAC001,SKU116,97.19,1.56
QR000097,FAC003,SKU112,96.7,1.75
QR000098,FAC005,SKU100,96.46,2.39
QR000099,FAC002,SKU113,98.48,1.36
QR000100,FAC006,SKU104,95.28,0.3
QR000101,FAC003,SKU128,96.97,1.74
QR000102,FAC004,SKU116,99.85,2.6
QR000103,FAC006,SKU106,96.97,2.91
QR000104,FAC004,SKU104,96.52,0.61
QR000105,FAC002,SKU109,98.25,1.96
QR000106,FAC002,SKU126,97.3,0.21
QR000107,FAC004,SKU110,96.57,1.3
QR000108,FAC002,SKU105,99.23,0.57
QR000109,FAC004,SKU111,99.75,0.56
QR000110,FAC004,SKU115,98.01,2.29
QR000111,FAC003,SKU116,97.53,0.07
QR000112,FAC003,SKU124,96.52,0.27
QR000113,FAC006,SKU107,95.81,2.37
QR000114,FAC006,SKU126,95.66,0.7
QR000115,FAC006,SKU122,99.11,1.94
QR000116,FAC005,SKU114,96.92,2.24
QR000117,FAC004,SKU100,95.56,1.37
QR000118,FAC002,SKU120,98.43,0.27
QR000119,FAC005,SKU104,95.35,1.53
QR000120,FAC005,SKU113,98.88,2.55
QR000121,FAC001,SKU113,96.67,2.15
QR000122,FAC004,SKU116,98.54,1.88
QR000123,FAC005,SKU128,97.74,2.0
QR000124,FAC002,SKU121,98.28,0.7
QR000125,FAC004,SKU111,97.19,1.22
QR000126,FAC001,SKU103,97.57,1.9
QR000127,FAC006,SKU127,99.53,2.02
QR000128,FAC005,SKU115,99.69,0.25
QR000129,FAC002,SKU126,97.49,2.27
QR000130,FAC002,SKU111,99.05,2.65
QR000131,FAC002,SKU108,98.79,2.36
QR000132,FAC001,SKU120,97.11,1.01
QR000133,FAC001,SKU110,96.23,2.41
QR000134,FAC002,SKU110,95.68,0.1
QR000135,FAC003,SKU111,97.26,0.87
QR000136,FAC006,SKU109,98.1,2.44
QR000137,FAC004,SKU107,96.94,1.34
QR000138,FAC005,SKU112,99.12,0.26
QR000139,FAC005,SKU129,96.26,2.74
QR000140,FAC003,SKU119,96.02,2.28
QR000141,FAC006,SKU109,96.41,2.41
QR000142,FAC004,SKU115,95.67,0.75
QR000143,FAC003,SKU108,96.26,2.68
QR000144,FAC003,SKU124,95.64,2.71
QR000145,FAC001,SKU127,98.37,2.39
