SO,Date,SKUID,Qty,UnitPrice
SO000SKU100,2025-01-01,SKU100,218,2161.25
SO000SKU101,2025-01-01,SKU101,365,1245.0
SO000SKU102,2025-01-01,SKU102,473,772.5
SO000SKU103,2025-01-01,SKU103,96,2328.75
SO000SKU104,2025-01-01,SKU104,113,636.25
SO000SKU105,2025-01-01,SKU105,447,1347.5
SO000SKU106,2025-01-01,SKU106,282,1293.75
SO000SKU107,2025-01-01,SKU107,153,1920.0
SO000SKU108,2025-01-01,SKU108,367,2440.0
SO000SKU109,2025-01-01,SKU109,299,2242.5
SO000SKU110,2025-01-01,SKU110,192,1747.5
SO000SKU111,2025-01-01,SKU111,332,1343.75
SO000SKU112,2025-01-01,SKU112,136,1787.5
SO000SKU113,2025-01-01,SKU113,428,2497.5
SO000SKU114,2025-01-01,SKU114,275,1300.0
SO000SKU115,2025-01-01,SKU115,208,866.25
SO000SKU116,2025-01-01,SKU116,449,491.25
SO000SKU117,2025-01-01,SKU117,216,2353.75
SO000SKU118,2025-01-01,SKU118,230,578.75
SO000SKU119,2025-01-01,SKU119,449,632.5
SO000SKU120,2025-01-01,SKU120,470,1086.25
SO000SKU121,2025-01-01,SKU121,400,2001.25
SO000SKU122,2025-01-01,SKU122,391,791.25
SO000SKU123,2025-01-01,SKU123,162,1283.75
SO000SKU124,2025-01-01,SKU124,80,2090.0
SO000SKU125,2025-01-01,SKU125,137,2171.25
SO000SKU126,2025-01-01,SKU126,109,1933.75
SO000SKU127,2025-01-01,SKU127,120,1741.25
SO000SKU128,2025-01-01,SKU128,115,792.5
SO000SKU129,2025-01-01,SKU129,144,1346.25
SO001SKU100,2025-01-02,SKU100,206,2161.25
SO001SKU101,2025-01-02,SKU101,381,1245.0
SO001SKU102,2025-01-02,SKU102,83,772.5
SO001SKU103,2025-01-02,SKU103,197,2328.75
SO001SKU104,2025-01-02,SKU104,249,636.25
SO001SKU105,2025-01-02,SKU105,422,1347.5
SO001SKU106,2025-01-02,SKU106,450,1293.75
SO001SKU107,2025-01-02,SKU107,322,1920.0
SO001SKU108,2025-01-02,SKU108,288,2440.0
SO001SKU109,2025-01-02,SKU109,300,2242.5
SO001SKU110,2025-01-02,SKU110,453,1747.5
SO001SKU111,2025-01-02,SKU111,130,1343.75
SO001SKU112,2025-01-02,SKU112,489,1787.5
SO001SKU113,2025-01-02,SKU113,177,2497.5
SO001SKU114,2025-01-02,SKU114,173,1300.0
SO001SKU115,2025-01-02,SKU115,118,866.25
SO001SKU116,2025-01-02,SKU116,105,491.25
SO001SKU117,2025-01-02,SKU117,87,2353.75
SO001SKU118,2025-01-02,SKU118,288,578.75
SO001SKU119,2025-01-02,SKU119,285,632.5
SO001SKU120,2025-01-02,SKU120,81,1086.25
SO001SKU121,2025-01-02,SKU121,481,2001.25
SO001SKU122,2025-01-02,SKU122,436,791.25
SO001SKU123,2025-01-02,SKU123,447,1283.75
SO001SKU124,2025-01-02,SKU124,191,2090.0
SO001SKU125,2025-01-02,SKU125,357,2171.25
SO001SKU126,2025-01-02,SKU126,105,1933.75
SO001SKU127,2025-01-02,SKU127,351,1741.25
SO001SKU128,2025-01-02,SKU128,175,792.5
SO001SKU129,2025-01-02,SKU129,200,1346.25
SO002SKU100,2025-01-03,SKU100,314,2161.25
SO002SKU101,2025-01-03,SKU101,314,1245.0
SO002SKU102,2025-01-03,SKU102,117,772.5
SO002SKU103,2025-01-03,SKU103,147,2328.75
SO002SKU104,2025-01-03,SKU104,205,636.25
SO002SKU105,2025-01-03,SKU105,358,1347.5
SO002SKU106,2025-01-03,SKU106,414,1293.75
SO002SKU107,2025-01-03,SKU107,363,1920.0
SO002SKU108,2025-01-03,SKU108,148,2440.0
SO002SKU109,2025-01-03,SKU109,363,2242.5
SO002SKU110,2025-01-03,SKU110,187,1747.5
SO002SKU111,2025-01-03,SKU111,404,1343.75
SO002SKU112,2025-01-03,SKU112,208,1787.5
SO002SKU113,2025-01-03,SKU113,404,2497.5
SO002SKU114,2025-01-03,SKU114,81,1300.0
SO002SKU115,2025-01-03,SKU115,214,866.25
SO002SKU116,2025-01-03,SKU116,441,491.25
SO002SKU117,2025-01-03,SKU117,118,2353.75
SO002SKU118,2025-01-03,SKU118,156,578.75
SO002SKU119,2025-01-03,SKU119,362,632.5
SO002SKU120,2025-01-03,SKU120,237,1086.25
SO002SKU121,2025-01-03,SKU121,263,2001.25
SO002SKU122,2025-01-03,SKU122,132,791.25
SO002SKU123,2025-01-03,SKU123,288,1283.75
SO002SKU124,2025-01-03,SKU124,201,2090.0
SO002SKU125,2025-01-03,SKU125,291,2171.25
SO002SKU126,2025-01-03,SKU126,250,1933.75
SO002SKU127,2025-01-03,SKU127,422,1741.25
SO002SKU128,2025-01-03,SKU128,161,792.5
SO002SKU129,2025-01-03,SKU129,99,1346.25
SO003SKU100,2025-01-04,SKU100,259,2161.25
SO003SKU101,2025-01-04,SKU101,354,1245.0
SO003SKU102,2025-01-04,SKU102,213,772.5
SO003SKU103,2025-01-04,SKU103,135,2328.75
SO003SKU104,2025-01-04,SKU104,482,636.25
SO003SKU105,2025-01-04,SKU105,139,1347.5
SO003SKU106,2025-01-04,SKU106,210,1293.75
SO003SKU107,2025-01-04,SKU107,346,1920.0
SO003SKU108,2025-01-04,SKU108,448,2440.0
SO003SKU109,2025-01-04,SKU109,180,2242.5
SO003SKU110,2025-01-04,SKU110,420,1747.5
SO003SKU111,2025-01-04,SKU111,419,1343.75
SO003SKU112,2025-01-04,SKU112,233,1787.5
SO003SKU113,2025-01-04,SKU113,247,2497.5
SO003SKU114,2025-01-04,SKU114,145,1300.0
SO003SKU115,2025-01-04,SKU115,274,866.25
SO003SKU116,2025-01-04,SKU116,371,491.25
SO003SKU117,2025-01-04,SKU117,80,2353.75
SO003SKU118,2025-01-04,SKU118,482,578.75
SO003SKU119,2025-01-04,SKU119,318,632.5
SO003SKU120,2025-01-04,SKU120,341,1086.25
SO003SKU121,2025-01-04,SKU121,417,2001.25
SO003SKU122,2025-01-04,SKU122,404,791.25
SO003SKU123,2025-01-04,SKU123,464,1283.75
SO003SKU124,2025-01-04,SKU124,492,2090.0
SO003SKU125,2025-01-04,SKU125,205,2171.25
SO003SKU126,2025-01-04,SKU126,473,1933.75
SO003SKU127,2025-01-04,SKU127,402,1741.25
SO003SKU128,2025-01-04,SKU128,276,792.5
SO003SKU129,2025-01-04,SKU129,415,1346.25
SO004SKU100,2025-01-05,SKU100,466,2161.25
SO004SKU101,2025-01-05,SKU101,448,1245.0
SO004SKU102,2025-01-05,SKU102,360,772.5
SO004SKU103,2025-01-05,SKU103,323,2328.75
SO004SKU104,2025-01-05,SKU104,406,636.25
SO004SKU105,2025-01-05,SKU105,400,1347.5
SO004SKU106,2025-01-05,SKU106,445,1293.75
SO004SKU107,2025-01-05,SKU107,243,1920.0
SO004SKU108,2025-01-05,SKU108,157,2440.0
SO004SKU109,2025-01-05,SKU109,441,2242.5
SO004SKU110,2025-01-05,SKU110,249,1747.5
SO004SKU111,2025-01-05,SKU111,185,1343.75
SO004SKU112,2025-01-05,SKU112,474,1787.5
SO004SKU113,2025-01-05,SKU113,471,2497.5
SO004SKU114,2025-01-05,SKU114,260,1300.0
SO004SKU115,2025-01-05,SKU115,294,866.25
SO004SKU116,2025-01-05,SKU116,489,491.25
SO004SKU117,2025-01-05,SKU117,192,2353.75
