ShipmentID,Origin,Destination,Mode,LeadTimeDays,Status,ShipDate,SKUID,Qty,ArrivalDate
SHP000000,Shenzhen,Sao Paulo,Sea,15,Delayed,2025-08-13,SKU102,118,2025-08-28
SHP000001,Ho Chi Minh City,Rotterdam,Sea,18,In Transit,2025-07-23,SKU124,176,2025-08-10
SHP000002,Ho Chi Minh City,Chicago,Air,9,Delayed,2025-09-15,SKU110,147,2025-09-24
SHP000003,Chennai,Sao Paulo,Road,16,Delivered,2025-12-11,SKU116,173,2025-12-27
SHP000004,Shenzhen,Sydney,Air,23,Delivered,2025-05-24,SKU124,182,2025-06-16
SHP000005,Shenzhen,Mumbai,Air,14,Delayed,2025-04-21,SKU104,211,2025-05-05
SHP000006,Noida,Sao Paulo,Sea,8,Delayed,2025-07-09,SKU114,197,2025-07-17
SHP000007,Zhengzhou,Rotterdam,Sea,18,Delayed,2025-09-18,SKU104,210,2025-10-06
SHP000008,Chennai,Dubai,Road,6,In Transit,2025-08-14,SKU104,207,2025-08-20
SHP000009,Bangkok,Sydney,Sea,5,Delayed,2025-03-17,SKU122,131,2025-03-22
SHP000010,Zhengzhou,Mumbai,Air,22,Delivered,2025-07-01,SKU102,194,2025-07-23
SHP000011,Chennai,Singapore,Air,19,Delayed,2025-08-09,SKU109,140,2025-08-28
SHP000012,Bangkok,Singapore,Road,19,In Transit,2025-03-28,SKU104,205,2025-04-16
SHP000013,Chennai,Johannesburg,Sea,17,In Transit,2025-07-30,SKU107,154,2025-08-16
SHP000014,Chennai,Chicago,Sea,20,Delayed,2025-01-25,SKU106,138,2025-02-14
SHP000015,Ho Chi Minh City,Sao Paulo,Air,10,Delivered,2025-01-05,SKU103,137,2025-01-15
SHP000016,Bangkok,Mumbai,Air,13,Delayed,2025-04-27,SKU113,170,2025-05-10
SHP000017,Ho Chi Minh City,Sao Paulo,Air,3,Delayed,2025-07-16,SKU101,97,2025-07-19
SHP000018,Chennai,Mumbai,Air,17,Delivered,2025-01-16,SKU112,145,2025-02-02
SHP000019,Ho Chi Minh City,Sao Paulo,Sea,13,Delivered,2025-06-29,SKU108,119,2025-07-12
SHP000020,Bangkok,Singapore,Air,4,Delayed,2025-12-28,SKU100,201,2026-01-01
