SKUID,WarehouseID,DemandShare
SKU100,WH001,0.07170717071707171
SKU100,WH002,0.0532053205320532
SKU100,WH003,0.10551055105510551
SKU100,WH004,0.21212121212121213
SKU100,WH005,0.1624162416241624
SKU100,WH006,0.15221522152215222
SKU100,WH007,0.0854085408540854
SKU100,WH008,0.15741574157415741
SKU101,WH001,0.11831183118311832
SKU101,WH002,0.3124312431243124
SKU101,WH003,0.12111211121112112
SKU101,WH004,0.10391039103910392
SKU101,WH005,0.026302630263026303
SKU101,WH006,0.2211221122112211
SKU101,WH007,0.0765076507650765
SKU101,WH008,0.0203020302030203
SKU102,WH001,0.17078292170782922
SKU102,WH002,0.037896210378962104
SKU102,WH003,0.3025697430256974
SKU102,WH004,0.20877912208779123
SKU102,WH005,0.10038996100389962
SKU102,WH006,0.0201979802019798
SKU102,WH007,0.017698230176982303
SKU102,WH008,0.1416858314168583
SKU103,WH001,0.07570757075707571
SKU103,WH002,0.1266126612661266
SKU103,WH003,0.1416141614161416
SKU103,WH004,0.029202920292029203
SKU103,WH005,0.1689168916891689
SKU103,WH006,0.10881088108810881
SKU103,WH007,0.2623262326232623
SKU103,WH008,0.08680868086808681
SKU104,WH001,0.0177
SKU104,WH002,0.099
SKU104,WH003,0.0619
SKU104,WH004,0.1063
SKU104,WH005,0.0455
SKU104,WH006,0.1471
SKU104,WH007,0.3492
SKU104,WH008,0.1733
SKU105,WH001,0.184018401840184
SKU105,WH002,0.09370937093709371
SKU105,WH003,0.0173017301730173
SKU105,WH004,0.1483148314831483
SKU105,WH005,0.04830483048304831
SKU105,WH006,0.0858085808580858
SKU105,WH007,0.25992599259925997
SKU105,WH008,0.1626162616261626
SKU106,WH001,0.1859
SKU106,WH002,0.0646
SKU106,WH003,0.1098
SKU106,WH004,0.0869
SKU106,WH005,0.0776
SKU106,WH006,0.1531
SKU106,WH007,0.0283
SKU106,WH008,0.2938
SKU107,WH001,0.103989601039896
SKU107,WH002,0.27757224277572246
SKU107,WH003,0.0632936706329367
SKU107,WH004,0.1902809719028097
SKU107,WH005,0.13898610138986103
SKU107,WH006,0.0938906109389061
SKU107,WH007,0.0648935106489351
SKU107,WH008,0.06709329067093292
SKU108,WH001,0.0572942705729427
SKU108,WH002,0.1131886811318868
SKU108,WH003,0.20837916208379162
SKU108,WH004,0.23397660233976603
SKU108,WH005,0.1484851514848515
SKU108,WH006,0.07139286071392861
SKU108,WH007,0.0893910608939106
SKU108,WH008,0.07789221077892211
SKU109,WH001,0.1868
SKU109,WH002,0.1706
SKU109,WH003,0.0448
SKU109,WH004,0.0868
SKU109,WH005,0.229
SKU109,WH006,0.0499
SKU109,WH007,0.104
SKU109,WH008,0.1281
SKU110,WH001,0.053494650534946495
SKU110,WH002,0.11078892110788918
SKU110,WH003,0.016998300169983
SKU110,WH004,0.23077692230776917
SKU110,WH005,0.328967103289671
SKU110,WH006,0.0234976502349765
SKU110,WH007,0.1873812618738126
SKU110,WH008,0.04809519048095189
SKU111,WH001,0.11391139113911392
SKU111,WH002,0.2729272927292729
SKU111,WH003,0.11911191119111911
SKU111,WH004,0.17941794179417941
SKU111,WH005,0.0319031903190319
SKU111,WH006,0.041504150415041505
SKU111,WH007,0.0783078307830783
SKU111,WH008,0.1629162916291629
SKU112,WH001,0.2013
SKU112,WH002,0.1553
SKU112,WH003,0.0697
SKU112,WH004,0.1376
SKU112,WH005,0.1131
SKU112,WH006,0.0147
SKU112,WH007,0.0841
SKU112,WH008,0.2242
SKU113,WH001,0.1186
SKU113,WH002,0.0507
SKU113,WH003,0.3481
SKU113,WH004,0.0126
SKU113,WH005,0.1526
SKU113,WH006,0.1854
SKU113,WH007,0.1081
SKU113,WH008,0.0239
SKU114,WH001,0.039403940394039404
SKU114,WH002,0.177017701770177
SKU114,WH003,0.25032503250325033
SKU114,WH004,0.0499049904990499
SKU114,WH005,0.10951095109510951
SKU114,WH006,0.2003200320032003
SKU114,WH007,0.0875087508750875
SKU114,WH008,0.086008600860086
SKU115,WH001,0.11122224444888977
SKU115,WH002,0.12352470494098819
SKU115,WH003,0.32866573314662934
SKU115,WH004,0.09061812362472495
SKU115,WH005,0.09001800360072014
SKU115,WH006,0.04220844168833767
SKU115,WH007,0.10992198439687938
SKU115,WH008,0.10382076415283056
SKU116,WH001,0.08740874087408741
SKU116,WH002,0.06270627062706272
SKU116,WH003,0.1294129412941294
SKU116,WH004,0.2135213521352135
SKU116,WH005,0.0624062406240624
SKU116,WH006,0.11951195119511951
SKU116,WH007,0.2269226922692269
SKU116,WH008,0.09810981098109811
SKU117,WH001,0.2694269426942694
SKU117,WH002,0.06940694069406941
SKU117,WH003,0.0997099709970997
SKU117,WH004,0.0948094809480948
SKU117,WH005,0.11921192119211921
SKU117,WH006,0.22342234223422341
SKU117,WH007,0.0773077307730773
SKU117,WH008,0.046704670467046704
SKU118,WH001,0.20127987201279873
SKU118,WH002,0.15458454154584542
SKU118,WH003,0.014098590140985901
SKU118,WH004,0.11528847115288471
SKU118,WH005,0.22777722227777222
SKU118,WH006,0.09149085091490851
SKU118,WH007,0.05749425057494251
SKU118,WH008,0.13798620137986203
SKU119,WH001,0.2876
SKU119,WH002,0.1074
SKU119,WH003,0.1242
SKU119,WH004,0.1409
SKU119,WH005,0.122
SKU119,WH006,0.0185
SKU119,WH007,0.0321
SKU119,WH008,0.1673
SKU120,WH001,0.1268126812681268
SKU120,WH002,0.03290329032903291
SKU120,WH003,0.12861286128612862
SKU120,WH004,0.08770877087708771
SKU120,WH005,0.06360636063606362
SKU120,WH006,0.18191819181918195
SKU120,WH007,0.28802880288028804
SKU120,WH008,0.09040904090409041
SKU121,WH001,0.19978002199780023
